Split Seed,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,2,0.6399999999999999,0.6309339422187721,0.6647186147186147,0.6617857142857143
42,3,0.7333333333333333,0.7306884292178409,0.7428571428571429,0.7497619047619047
42,4,0.7333333333333333,0.7302726298469333,0.7333333333333334,0.7411904761904762
42,5,0.72,0.7119449796849178,0.7320093795093795,0.7282936507936508
42,6,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,7,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,8,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,9,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,10,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,11,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,12,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,13,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,14,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,15,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,16,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,17,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,18,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,19,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
42,20,0.7066666666666668,0.698135455875394,0.7208982683982684,0.7171825396825398
